№ п/п;Область;Індекс дороги;Назва дороги;Початок ділянки км, м;Кінець ділянки км, м;GPS-координати, початок (широта/довгота);GPS-координати, кінець (широта/довгота);Протяжність ділянки, м;Кількість ДТП за три роки до взяття на облік;;;;;;
1;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);336+500 ;337+343 ;49.391469, 27.881164;49.3905049, 27.8924857;843;4;;;;;;
2;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);368+408;368+538 ;49.276700 28.266228;49.276121 28.267492 ;130;4;;;;;;
3;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);371+500 ;371+800;49.259056 28.298702;49.257910 28.302161;300;8;;;;;;
4;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);376+897;377+003 ;49.249548 28.370556;49.248991 28.371872 ;106;12;;;;;;
5;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);377+200;378+089;49.247993 28.374242;49.243813 28.384101;889;8;;;;;;
6;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);391+000 ;391+908;49.281443 28.520630;49.280484 28.533019;908;4;;;;;;
7;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);395+590;395+882;49.259712 28.570918;49.256718 28.573165;478;15;;;;;;
8;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);401+200;402+100;49.217402 28.577809;49.215426 28.578472;900;5;;;;;;
9;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);408+188;408+478;49.184922 28.646489;49.182180 28.648567;290;6;;;;;;
10;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);415+191;415+592 ;49.132582 28.695555;49.132582 28.695555 ;401;7;;;;;;
11;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);417+890;418+330;49.111939 28.700535;49.108231 28.701222;424;9;;;;;;
12;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);420+050;421+050;49.090629 28.706431;49.081651 28.705633;1000;3;;;;;;
13;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);434+800;435+500;48.990193 28.801434;48.987153 28.809255;700;4;;;;;;
14;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);452+100;453+100;48.923861 28.962031;48.928595 8.973197;1000;11;;;;;;
15;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);485+220;485+520;48.829722 29.341589;48.827903 29.344809;300;4;;;;;;
16;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);496+100;497+100;48.806622 29.476267;48.807110 29.489746;1000;11;;;;;;
17;Вінницька;М-21;Виступовичі – Житомир – Могилів-Подільський (через м. Вінницю);282+000 ;283+000;49.425358 28.519694;49.418308 28.527432;1000;4;;;;;;
18;Вінницька;М-21;Виступовичі – Житомир – Могилів-Подільський (через м. Вінницю);293+000;294+000;49.331754 28.514051;49.324170 28.507207;1000;5;;;;;;
19;Вінницька;М-21;Виступовичі – Житомир – Могилів-Подільський (через м. Вінницю);296+000;297+150;49.313471 28.485320;49.304694 28.477100;1150;15;;;;;;
20;Вінницька;М-21;Виступовичі – Житомир – Могилів-Подільський (через м. Вінницю);299+237;299+422;49.286149 28.475151;49.284932 28.475151;185;15;;;;;;
21;Вінницька;М-21;Виступовичі – Житомир – Могилів-Подільський (через м. Вінницю);300+961;301+365;49.286524 28.452315;49.285505 28.446899;404;16;;;;;;
22;Вінницька;М-21;Виступовичі – Житомир – Могилів-Подільський (через м. Вінницю);304+000;304+935;49.265712 28.427628;49.258510 28.421048;935;5;;;;;;
23;Вінницька;М-21;Виступовичі – Житомир – Могилів-Подільський (через м. Вінницю);306+850;307+283;49.244469 28.406364;49.241204 28.403619;433;10;;;;;;
24;Вінницька;Р-08 ;Немирів – Ямпіль;11+050;11+100;48.861741 28.899259;48.861228 28.899641;50;3;;;;;;
25;Вінницька;Р-08 ;Немирів – Ямпіль;67+300;68+230;48.531330 28.621819;48.532878 28.611416;930;3;;;;;;
26;Волинська;М-07;Київ – Ковель – Ягодин (на               м. Люблін);382+010 ;382+400;51.261203, 51.2610427;25.5382417, 25.5340798;390;4;;;;;;
27;Волинська;М-19;Доманове (на м. Брест) – Ковель – Чернівці – Тереблече (на м. Бухарест);82+300 ;83+100;51.1862141, 51.182768;24.7883399, 24.7983098;800;3;;;;;;
28;Волинська;М-19;Доманове (на м. Брест) – Ковель – Чернівці – Тереблече (на м. Бухарест);101+000;102+000;51.0918497, 25.0082939;51.0862109, 25.0194014;1000;3;;;;;;
29;Волинська;М-19;Доманове (на м. Брест) – Ковель – Чернівці – Тереблече (на м. Бухарест);125+100 ;126+000;50.920509, 25.204640,;50.912679, 25.208085;900;3;;;;;;
30;Волинська;М-19;Доманове (на м. Брест) – Ковель – Чернівці – Тереблече (на м. Бухарест);142+000 ;142+300;50.8093579, 50.8083673;25.2986351, 25.3026527;300;3;;;;;;
31;Волинська;М-19;Доманове (на м. Брест) – Ковель – Чернівці – Тереблече (на м. Бухарест);151+116 ;152+000;50.8009343, 50.7933381;25.3937662, 25.3952825;884;3;;;;;;
32;Волинська;Н-22;Устилуг – Луцьк – Рівне;35+500 ;36+500;50.7916292, 50.790097;24.6044588, 24.6182642;1000;3;;;;;;
33;Волинська;Н-22;Устилуг – Луцьк – Рівне; 53+170 ;54+000;50.780519, 50.7793438;24.846398, 24.8578858;830;3;;;;;;
34;Волинська;Н-22;Устилуг – Луцьк – Рівне;54+200 ; 55+100;50.7790529, 24.8607393;50.7778414, 24.8732087;900;3;;;;;;
35;Волинська;Н-22;Устилуг – Луцьк – Рівне;62+001 ;62+500;50.7785604, 50.7773751;24.9718619, 24.9765428 ;499;3;;;;;;
36;Волинська;Н-22;Устилуг – Луцьк – Рівне;64+100 ;65+000;50.7710485, 24.9958368;50.7699755, 25.0086974;900;3;;;;;;
37;Волинська;Н-22;Устилуг – Луцьк – Рівне;80+000;81+000;50.7484111, 50.7434786;25.2099819, 25.2216276 ;1000;3;;;;;;
38;Волинська;Н-22;Устилуг – Луцьк – Рівне; 81+847 ;82+272;50.7452547, 50.7449987;25.2330585, 25.2389649 ;425;3;;;;;;
39;Волинська;Н-22;Устилуг – Луцьк – Рівне;101+000;102+000;50.7617219, 25.4868541;50.7670629, 25.4982539;1000;3;;;;;;
40;Волинська;Н-22;Устилуг – Луцьк – Рівне;119+000 ;120+000;50.7815614, 50.7809607;25.7336414, 25.7477868;1000;5;;;;;;
41;Волинська;Р-14;Луцьк – Ківерці – Маневичі – Любешів – Дольськ;8+100;8+900;50.8040509, 25.3901062;50.8082175, 25.3990968;800;4;;;;;;
42;Волинська;Р-15;Р-15 Ковель – Володимир-Волинський – Червоноград – Жовква;67+100;67+200;50.7850239, 24.2327606;50.7841985, 24.2321221;100;3;;;;;;
43;Волинська;Р-15;Р-15 Ковель – Володимир-Волинський – Червоноград – Жовква;72+115;72+964;50.74250889625,24.1587619475;50.74174762, 24.15691358;849;3;;;;;;
44;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);141+400;142+000;50.3271481, 28.6523093 ;50.3274548, 28.6440165;600;6;;;;;;
45;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);199+700 ;200+200;50.5107595,27.9414136;50.5127279,27.9347585;500;5;;;;;;
46;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);235+100 ;236+10;50.5969634,27.5345034;50.5987325,27.5204942;910;5;;;;;;
47;Житомирська;М-06-01;Східний під’їзд до м. Житомира;2+000;2+400;50.2855931,  28.7721118;50.2854372,  28.7649165;400;4;;;;;;
48;Житомирська;М-21;Виступовичі – Житомир – Могилів-Подільський (через м. Вінницю);167+500 ;168+10;50.3452231,28.690319;50.339919,28.68938;510;4;;;;;;
49;Житомирська;М-21;Виступовичі – Житомир – Могилів-Подільський (через м. Вінницю);223+000;223+400;49.8872301,28.6571528;49.8838666,28.6555245;400;4;;;;;;
50;Житомирська;М-21-01;Північний під’їзд до м. Бердичева;2+160;2+760;49.9313881, 28.6042880;49.9260808, 28.6027146;600;5;;;;;;
51;Житомирська;Р-18;Житомир – Попільня – Сквира – Володарка – Ставище; 9+400 ;10+100;50.195322,28.7901992;50.1927184,28.7991255;700;4;;;;;;
52;Закарпатська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);718+000 ;719+000;48.7496592, 23.092939;48.745744, 23.0812703;1000;3;;;;;;
53;Закарпатська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);727+001;728+000;48.6899943, 23.0399194;48.6832217, 23.0473707;999;4;;;;;;
54;Закарпатська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);749+000;750+000;48.5611103, 22.954844;48.5570113, 22.9428397;1000;10;;;;;;
55;Закарпатська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);750+006;751+001;48.5542562, 22.9361845;48.5506039, 22.9319799;995;4;;;;;;
56;Закарпатська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);760+000;761+000;48.5037002, 22.8497953 ;48.4982601, 22.8392297;1000;3;;;;;;
57;Закарпатська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);770+000;771+000;48.4684993, 22.7322135;48.4640115, 22.7220816;1000;4;;;;;;
58;Закарпатська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);773+500;774+500;48.4534777, 22.6929837;48.4523961, 22.6802656;1000;4;;;;;;
59;Закарпатська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);785+300;768+100;48.4849871, 22.5430285;48.4872769, 22.5325938;800;4;;;;;;
60;Закарпатська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);805+120;806+000;48.5714288, 22.3441309 ;48.5768876, 22.3355897;880;3;;;;;;
61;Закарпатська;М-08;Обхід м. Ужгорода – контрольно-пропускний пункт “Ужгород”;1+000;2+000;48.588682, 22.329804;48.5975122, 22.327308;1000;5;;;;;;
62;Закарпатська;М-08;Обхід м. Ужгорода – контрольно-пропускний пункт “Ужгород”;7+800;8+200;48.6413732, 22.312915;48.6429214, 22.3081378;400;4;;;;;;
63;Закарпатська;Н-09;Мукачево – Рахів – Богородчани – Івано-Франківськ – Рогатин – Бібрка – Львів;4+100 ;5+000;48.4310192, 22.7676247;48.4314478, 22.779433;900;6;;;;;;
64;Закарпатська;Н-09;Мукачево – Рахів – Богородчани – Івано-Франківськ – Рогатин – Бібрка – Львів;8+000;9+000;48.4111429, 22.7987367;48.4038045, 22.805839;1000;5;;;;;;
65;Закарпатська;Н-09;Мукачево – Рахів – Богородчани – Івано-Франківськ – Рогатин – Бібрка – Львів;14+100;15+000;48.366146, 22.8371906;48.3637989, 22.8487024;900;3;;;;;;
66;Закарпатська;Н-09;Мукачево – Рахів – Богородчани – Івано-Франківськ – Рогатин – Бібрка – Львів;37+000;38+000;48.2768366, 23.0436317;48.2716017, 23.0544389;1000;4;;;;;;
67;Закарпатська;Н-13;Львів – Самбір – Ужгород;226+180;227+050;48.6785644, 22.3955147;48.6706334, 22.3822672;870;3;;;;;;
68;Запорізька;Н-08 ;Бориспіль – Дніпро – Запоріжжя (через м. Кременчук) – Маріуполь;529+100 ;530+100;47.7075801, 35.5570216;47.7047054, 35.5696686;1000;6;;;;;;
69;Івано-Франківська;Н-09;Мукачево –– Рахів –– Богородчани –– Івано-Франківськ –– Рогатин –– Бібрка –– Львів;  255+500   ;256+450;48.5404757, 24.6262841;48.5474376, 24.6202856;950;4;;;;;;
70;Івано-Франківська;Н-09;Мукачево –– Рахів –– Богородчани –– Івано-Франківськ –– Рогатин –– Бібрка –– Львів;278+200;278+800;48.7065462, 24.5328775;48.7108564, 24.5280018;600;4;;;;;;
71;Івано-Франківська;Н-09;Мукачево –– Рахів –– Богородчани –– Івано-Франківськ –– Рогатин –– Бібрка –– Львів;320+600 ;321+282;48.9636685, 24.7038497;48.9696944, 24.7045333;682;4;;;;;;
72;Івано-Франківська;Н-09;Мукачево –– Рахів –– Богородчани –– Івано-Франківськ –– Рогатин –– Бібрка –– Львів;326+500  ;327+200;49.0144053, 24.6947695;49.0199151, 24.6910407;700;3;;;;;;
73;Івано-Франківська;Н-09;Мукачево –– Рахів –– Богородчани –– Івано-Франківськ –– Рогатин –– Бібрка –– Львів;368+100 ;369+100;49.3443033, 24.6020761;49.3528386, 24.6061684;1000;3;;;;;;
74;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);28+200 – ;29+200;49.0226198, 23.8901023;49.0168036, 23.9007725;1000;3;;;;;;
75;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);30+100 –;30+600;49.0111313, 23.9096065;49.0083209, 23.9146481;500;3;;;;;;
76;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);33+050 – ;34+050;48.9944634, 23.9407836;48.9903064, 23.9527772;1000;4;;;;;;
77;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);42+120 –  ;43+100;48.9701121, 24.0533794;48.9731176, 24.0657736;980;3;;;;;;
78;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);53+206 –  ; 54+100;48.9977621, 24.1979008;48.9999293, 24.2099832;894;3;;;;;;
79;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);56+836;57+782;49.0052718, 24.24612625;49.0046668, 24.258997;996;6;;;;;;
80;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);74+000;74+950;49.0256889, 24.4614034;49.0231594, 24.4736818;950;3;;;;;;
81;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);88+350 ;89+350;48.9879872, 24.627837;48.9819435, 24.6384741;1000;3;;;;;;
82;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);111+796 ;112+500;48.8408515, 24.7335733;48.840179, 24.7428768;704;5;;;;;;
83;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);115+500 ;116+100;48.8381454, 24.7830506;48.8367583, 24.790947;600;3;;;;;;
84;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);127+100 ;127+850;48.7621616, 24.8544618;48.7555052, 24.8532404;750;3;;;;;;
85;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);142+537 ;143+000;48.6554087, 24.948013;48.6511612, 24.9484533;463;3;;;;;;
86;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);146+000;146+350;48.6249344, 24.9393489;48.6217761, 24.9384299;350;3;;;;;;
87;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);150+100 ;151+100;48.5925166, 24.9621952;48.5849772, 24.9693609;1000;3;;;;;;
88;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);155+100 ;156+000;48.5636286, 25.0113275;48.559542, 25.0215106;900;3;;;;;;
89;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);158+000;159+000;48.5556993, 25.0474012;48.5519225, 25.0596896;1000;3;;;;;;
90;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);162+200 ;163+117;48.5341208, 25.0919522;48.5285461, 25.1009535;917;3;;;;;;
91;Івано-Франківська;Н-10;Стрий –– Івано-Франківськ –– Чернівці –– Мамалига (на м. Кишинів);173+300 ;174+100;48.4932914, 25.2211382;48.489303, 25.2300614;800;4;;;;;;
92;Івано-Франківська;Н-18; Івано-Франківськ –– Бучач –– Тернопіль;4+000  ;4+947;48.9056434, 24.8185859;48.902769, 24.8292946;947;3;;;;;;
93;Івано-Франківська;Р-24;Татарів – Косів – Коломия – Борщів – Кам’янець-Подільський;72+600;73+600;48.30814899833333;25.075184475;1000;8;;;;;;
94;Івано-Франківська;Р-24;Татарів – Косів – Коломия – Борщів – Кам’янець-Подільський;39+930;40+930;48.305065260000006;25.08742829;1000;2;;;;;;
95;Івано-Франківська;Р-24;Татарів – Косів – Коломия – Борщів – Кам’янець-Подільський;91+950 ;92+100;48.3956739, 24.9818121;48.3968241, 24.9810975;150;3;;;;;;
96;Івано-Франківська;Р-24;Татарів – Косів – Коломия – Борщів – Кам’янець-Подільський;129+249   ;130+114;48.5548092, 25.1127912;48.5556883, 25.1244157;865;3;;;;;;
97;Івано-Франківська;Р-38;Богородчани –– Гута;1+500;  2+200; 48.7837113, 24.501627;48.7858298, 24.4929106;700;3;;;;;;
98;Івано-Франківська;Т-09-06;Івано-Франківськ – Бистриця;18+500  ;19+500;48.7162711, 24.6376523;48.7087917, 24.6307499;1000;4;;;;;;
99;Івано-Франківська;Т-09-06;Івано-Франківськ – Бистриця;21+600;км 22+000;48.6968048, 24.6191943;48.6895876, 24.6128838;940;3;;;;;;
100;Київська;М-03;Київ - Харків - Довжанський  (на м. Ростов-на-Дону);49+000;49+150;50.3075234, 31.0848285;50.3074560, 31.0867619;150;4;;;;;;
101;Київська;М-03;Київ - Харків - Довжанський  (на м. Ростов-на-Дону);58+020 ;58+300;50.3036894, 31.2137515;50.3037094, 31.2152743;280;3;;;;;;
102;Київська;М-03;Київ - Харків - Довжанський  (на м. Ростов-на-Дону);64+100 ;65+100;50.3047595, 31.2965323;50.3039796, 31.3106200;1000;3;;;;;;
103;Київська;М-03;Київ - Харків - Довжанський  (на м. Ростов-на-Дону);103+000 ;104+000;50.2130526, 31.797046;50.2171181, 31.8095397;1000;5;;;;;;
104;Київська;М-05;Київ – Одеса;18+300;19+300;50.3242164, 30.3923636;50.3160627, 30.3859273;1000;10;;;;;;
105;Київська;М-05;Київ – Одеса;28+000 ;29+000;50.2593738, 30.312992;50.254336, 30.3014214;1000;3;;;;;;
106;Київська;М-05;Київ – Одеса;30+500 ;31+200;50.2476159, 30.2830808;50.2426864, 30.2777561;700;5;;;;;;
107;Київська;М-05;Київ – Одеса;34+500;35+400;50.2173486 30.2541519;50.2109453, 30.2467300;900;14;;;;;;
108;Київська;М-05;Київ – Одеса;42+500 ;43+100;50.1546274,  30.2319573;50.1501148, 30.2365162;600;9;;;;;;
109;Київська;М-05;Київ – Одеса;134+000 ;134+800;49.363173, 30.108581;49.3559284, 30.1079864;800;6;;;;;;
110;Київська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);15+200;16+200;50.4528916, 30.31827992;50.4519038, 30.30414414;1000;3;;;;;;
111;Київська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);17+600;18+100;50.45051588, 30.28468115;50.4500297, 30.2778247;500;3;;;;;;
112;Київська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);19+650;20+150;50.4484440, 30.25584722;50.44796618, 30.2490007;500;21;;;;;;
113;Київська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);34+900 ;35+350;50.4318004, 30.0429772;50.4313411, 30.0367223;450;4;;;;;;
114;Київська;М-06;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);46+000 ;46+750;50.4215481, 29.8864712;50.4210183, 29.8774962;750;4;;;;;;
115;Київська;М-07;Київ – Ковель – Ягодин (на м.Люблін);23+400;23+950;50.5534488, 30.2852115;50.5540058, 30.2777669;550;5;;;;;;
116;Київська;М-07;Київ – Ковель – Ягодин (на м.Люблін);44+000;44+300;50.595281, 30.0192697;50.5964707, 30.0170762;300;4;;;;;;
117;Київська;Н-01;Київ – Знам’янка;26+050 ;27+000;50.2503162, 30.5569703;50.2453555, 30.560718;950;3;;;;;;
118;Київська;Н-02;/М-06/ – Кременець – Біла Церква – Ржищів – Канів – Софіївка ;388+510 ;388+510;49.80821733, 30.0053315;49.80821733, 30.0053315;0;6;;;;;;
119;Київська;Н-08;Бориспіль – Дніпро – Запоріжжя – (через м. Кременчук) – Маріуполь;20+400;20+600;50.19187939, 31.12992873;50.19078759, 31.13192746;200;4;;;;;;
120;Київська;Н-08;Бориспіль – Дніпро – Запоріжжя – (через м. Кременчук) – Маріуполь;36+050;36+300;50.1044052, 31.2991695;50.1038033, 31.3002082;250;4;;;;;;
121;Київська;Р-02;P-02 Київ – Іванків – Овруч;28+418;28+700;50.66146421, 30.4037473;50.6638269, 30.4023047;282;4;;;;;;
122;Київська;Р-03;Північно-східний об’їзд м. Києва;11+300 ;12+300;50.3990111, 30.94112128;50.4006170, 30.9272754;1000;6;;;;;;
123;Київська;Р-03;Північно-східний об’їзд м. Києва;14+600;15+220;50.4002779,  30.89491290;50.4019559, 30.8867913;620;6;;;;;;
124;Київська;Р-17;Біла Церква - Тетіїв - Липовець - Гуменне - /М-30/;10+000;11+000;49.70577564, 30.08702305;49.69681464, 30.08619529;1000;7;;;;;;
125;Київська;Р-19;Фастів - Митниця - Обухів - Ржищів;0+100;0+700;50.0664288, 29.9562798;50.0640748, 29.9639307;600;5;;;;;;
126;Київська;Р-69;Р-69 Київ – Вишгород – Десна – Чернігів;27+474 ;28+100;50.586249, 30.520549;50.585206, 30.5293223;626;4;;;;;;
127;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);596+10;596+400;48.6532611,30.7619713;48.6505512,30.7653525;390;6;;;;;;
128;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);596+400;597+377;48.6505512,30.7653525;48.6455235, 30.7757072;977;3;;;;;;
129;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);599+400;600+350;48.6413654,30.8014962;48.6409989,30.8137025;950;3;;;;;;
130;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);611+900;612+200;48.6443724,30.9676749;48.6435988,30.9715752;300;3;;;;;;
131;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);614+550 ;615+020;48.6411662,31.0019465;48.6387584,31.0100854;470;3;;;;;;
132;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);619+100; 620+100;48.6281868,31.0595751;48.6314505,31.0715968;1000;3;;;;;;
133;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);627+030;627+627;48.6122852,31.1586642;48.61002, 31.1616333;597;3;;;;;;
